nothing	time	filler			
construction	12	0			
construction	12	0			
construction	12	0			
construction	12	7			
construction	12	3			
construction	12	1			
construction	12	1			
construction	12	1			
construction	12	1			
construction	12	1			
construction	12	1			
construction	12	1			
construction	12	1			
construction	12	2			
construction	12	3			
construction	12	0			
construction	12	0			
construction	12	2			
construction	12	6			
construction	12	7			
construction	12	2			
construction	12	0			
construction	12	0			
construction	12	7			
construction	12	3			
construction	12	0			
construction	12	0			
construction	12	2			
construction	12	2			
construction	12	4			
construction	12	2			
construction	12	3			
construction	12	7			
construction	12	6			
construction	12	3			
construction	12	5			
construction	12	7			
construction	12	0			
construction	12	0			
construction	12	3			
construction	12	4			
construction	12	7			
construction	12	0			
construction	12	5			
construction	12	3			
construction	12	0			
construction	12	5			
construction	12	3			
construction	12	2			
construction	12	3			
construction	12	5			
construction	12	0			
construction	12	5			
construction	12	3			
construction	12	3			
construction	12	5			
construction	12	2			
construction	12	5			
construction	12	5			
construction	12	7			
construction	12	3			
construction	12	5			
construction	12	2			
construction	12	0			
construction	12	2			
construction	12	4			
construction	12	4			
construction	12	5			
construction	12	3			
construction	12	5			
construction	12	5			
construction	12	5			
construction	12	2			
construction	12	3			
construction	12	2			
construction	12	3			
construction	12	3			
construction	12	3			
construction	12	1			
construction	12	5			
construction	12	1			
construction	12	1			
construction	12	1			
construction	12	1			
construction	12	1			
construction	12	0			
construction	12	3			
construction	12	0			
construction	12	0			
construction	12	7			
construction	12	0			
construction	12	0			
construction	12	0			
construction	12	7			
construction	12	4			
construction	12	0			
construction	12	0			
construction	12	3			
construction	12	3			
construction	12	0			
construction	12	7			
construction	12	4			
construction	12	3			
construction	12	0			
construction	12	1			
construction	12	1			
construction	12	1			
construction	12	1			
construction	12	0			
construction	12	7			
construction	12	0			
construction	12	2			
construction	12	5			
construction	12	3			
construction	12	5			
construction	12	5			
construction	12	5			
construction	12	5			
construction	12	5			
construction	12	0			
construction	12	2			
construction	12	2			
construction	12	5			
construction	12	2			
construction	12	3			
construction	12	0			
construction	12	5			
construction	12	2			
construction	12	5			
construction	12	2			
construction	12	2			
construction	12	2			
construction	12	2			
construction	12	3			
construction	12	0			
construction	12	2			
construction	12	7			
construction	12	2			
construction	12	0			
construction	12	5			
construction	12	2			
construction	12	5			
construction	12	0			
construction	12	6			
construction	12	3			
construction	12	2			
construction	12	3			
construction	12	7			
construction	12	5			
construction	12	2			
construction	12	0			
construction	12	5			
construction	12	5			
construction	12	3			
construction	12	7			
construction	12	5			
construction	12	5			
construction	12	3			
construction	12	5			
construction	12	0			
construction	12	0			
construction	12	2			
construction	12	0			
construction	12	6			
construction	12	7			
construction	12	4			
construction	12	0			
construction	12	0			
construction	12	0			
construction	12	0			
construction	12	0			
construction	12	7			
construction	12	7			
construction	12	0			
construction	12	0			
construction	12	3			
construction	12	3			
construction	12	3			
construction	12	3			
construction	12	3			
construction	12	3			
construction	12	0			
construction	12	0			
construction	12	8			
construction	12	7			
construction	12	2			
construction	12	7			
construction	12	5			
construction	12	3			
construction	12	3			
construction	12	3			
construction	12	0			
construction	12	6			
					
					
construction					
construction					
construction	0				
construction	12	0			
construction	12	3			
construction	12	0			
construction	12	3			
construction	12	4			
construction	12	3			
construction	12	5			
construction	12	7			
construction	12	8			
construction	12	0			
construction	12	8			
construction	12	2			
construction	12	0			
construction	12	7			
construction	12	0			
construction	12	3			
construction	12	0			
construction	12	7			
construction	12	0			
construction	12	0			
construction	12	7			
construction	12	3			
construction	12	7			
construction	12	0			
construction	12	2			
construction	12	0			
construction	12	0			
construction	12	0			
construction	12	6			
construction	12	5			
construction	12	2			
construction	12	2			
construction	12	2			
construction	12	2			
construction	12	7			
construction	12	2			
construction	12	5			
construction	12	2			
construction	12	2			
construction	12	2			
construction	12	5			
construction	12	2			
construction	12	5			
construction	12	2			
construction	12	5			
construction	12	0			
construction	12	3			
construction	12	0			
construction	12	3			
construction	12	3			
construction	12	3			
construction	12	0			
construction	12	3			
construction	12	0			
construction	12	0			
construction	12	0			
construction	12	0			
construction	12	0			
construction	12	3			
construction	12	0			
construction	12	3			
construction	12	3			
construction	12	2			
construction	12	5			
construction	12	3			
construction	12	5			
construction	12	2			
construction	12	5			
construction	12	3			
construction	12	3			
construction	12	2			
construction	12	2			
construction	12	5			
construction	12	7			
construction	12	0			
construction	12	5			
construction	12	2			
construction	12	3			
construction	12	0			
construction	12	2			
construction	12	0			
application	12	7			
application	12	0			
application	12	2			
application	12	7			
application	12	2			
application	12	2			
application	12	5			
application	12	2			
application	12	5			
application	12	5			
application	12	2			
application	12	0			
application	12	2			
application	12	2			
application	12	1			
application	12	1			
application	12	5			
application	12	5			
application	12	6			
application	12	4			
application	12	5			
application	12	0			
application	12	0			
application	12	0			
application	12	0			
application	12	0			
application	12	7			
application	12	7			
application	12	0			
application	12	0			
application	12	0			
application	12	0			
application	12	3			
application	12	0			
application	12	0			
application	12	2			
application	12	0			
application	12	7			
application	12	0			
application	12	5			
application	12	0			
application	12	3			
application	12	7			
application	12	0			
application	12	0			
application	12	0			
application	12	0			
application	12	3			
application	12	7			
application	12	8			
application	12	3			
application	12	3			
application	12	3			
application	12	0			
application	12	0			
application	12	0			
application	12	0			
application	12	0			
application	12	7			
application	12	2			
application	12	7			
application	12	0			
application	12	0			
application	12	5			
application	12	2			
application	12	3			
application	12	2			
application	12	2			
application	12	7			
application	12	0			
application	12	3			
application	12	0			
application	12	2			
application	12	2			
application	12	5			
application	12	2			
application	12	2			
application	12	2			
application	12	0			
application	12	2			
application	12	2			
application	12	0			
application	12	0			
application	12	2			
application	12	5			
application	12	4			
application	12	2			
application	12	3			
application	12	5			
application	12	5			
application	12	2			
application	12	0			
application	12	0			
application	12	0			
application	12	0			
application	12	7			
application	12	0			
application	12	0			
application	12	3			
application	12	0			
application	12	7			
application	12	0			
application	12	7			
application	12	0			
application	12	2			
application	12	2			
application	12	0			
application	12	2			
application	12	0			
application	12	0			
application	12	5			
application	12	0			
application	12	5			
application	12	2			
application	12	0			
application	12	0			
application	12	7			
application	12	0			
application	12	0			
application	12	3			
application	12	0			
application	12	3			
application	12	0			
application	12	0			
application	12	2			
application	12	7			
application	12	9			
application	12	3			
application	12	0			
application	12	7			
application	12	0			
application	12	7			
application	12	0			
application	12	0			
application	12	5			
application	12	0			
application	12	2			
application	12	5			
application	12	2			
application	12	3			
application	12	3			
application	12	0			
application	12	6			
application	12	7			
application	12	3			
application	12	0			
application	12	0			
application	12	8			
application	12	3			
application	12	7			
application	12	0			
application	12	6			
application	12	3			
application	12	6			
application	12	6			
application	12	0			
application	12	3			
application	12	5			
application	12	2			
application	12	0			
application	12	0			
application	12	0			
application	12	0			
application	12	2			
application	12	7			
application	12	5			
application	12	2			
application	12	0			
application	12	0			
application	12	0			
application	12	6			
application	12	0			
application	12	7			
application	12	6			
application	12	0			
application	12	7			
application	12	3			
application	12	5			
application	12	7			
application	12	7			
application	12	0			
application	12	0			
application	12	0			
application	12	4			
application	12	0			
application	12	3			
application	12	0			
application	12	0			
application	12	0			
application	12	3			
application	12	0			
application	12	0			
application	12	0			
application	12	0			
application	12	6			
application	12	7			
application	12	0			
application	12	2			
application	12	7			
application	12	0			
application	12	0			
application	12	0			
application	12	7			
application	12	3			
application	12	0			
application	12	0			
application	12	3			
application	12	0			
application	12	0			
application	12	5			
application	12	0			
application	12	0			
application	12	7			
application	12	0			
application	12	0			
application	12	0			
application	12	0			
application	12	0			
application	12	2			
application	12	2			
application	12	0			
application	12	2			
application	12	0			
application	12	0			
application	12	0			
application	12	0			
application	12	0			
application	12	3			
application	12	7			
application	12	0			
application	12	2			
application	12	3			
application	12	0			
application	12	0			
application	12	0			
application	12	3			
application	12	5			
application	12	7			
application	12	0			
application	12	0			
application	12	7			
application	12	0			
application	12	2			
application	12	3			
application	12	5			
application	12	3			
application	12	0			
application	12	3			
application	12	3			
application	12	3			
application	12	0			
application	12	0			
application	12	7			
application	12	0			
application	12	3			
application	12	0			
application	12	7			
application	12	3			
application	12	5			
application	12	0			
application	12	7			
application	12	1			
application	12	5			
application	12	5			
application	12	3			
application	12	0			
application	12	3			
application	12	0			
application	12	0			
application	12	7			
application	12	3			
application	12	0			
application	12	3			
application	12	0			
application	12	0			
application	12	0			
application	12	0			
application	12	3			
application	12	0			
application	12	7			
application	12	0			
application	12	6			
application	12	0			
application	12	0			
application	12	0			
application	12	7			
application	12	0			
application	12	5			
application	12	11			
application	12	5			
application	12	7			
application	12	2			
application	12	0			
application	12	0			
application	12	2			
application	12	0			
application	12	0			
application	12	8			
application	12	0			
application	12	7			
application	12	1			
application	12	1			
application	12	1			
application	12	1			
application	12	1			
application	12	3			
application	12	0			
application	12	7			
application	12	0			
application	12	0			
application	12	3			
application	12	0			
application	12	2			
application	12	7			
application	12	0			
application	12	0			
application	12	0			
application	12	0			
application	12	4			
application	12	11			
application	12	5			
application	12	5			
application	12	11			
application	12	11			
application	12	5			
application	12	5			
application	12	3			
application	12	2			
application	12	5			
application	12	3			
application	12	2			
application	12	4			
application	12	3			
application	12	2			
application	12	4			
application	12	5			
application	12	5			
application	12	0			
application	12	3			
application	12	7			
application	12	5			
application	12	3			
application	12	5			
application	12	3			
application	12	0			
application	12	3			
application	12	3			
application	12	5			
application	12	2			
application	12	3			
application	12	3			
application	12	5			
application	12	3			
application	12	7			
application	12	3			
application	12	0			
application	12	3			
application	12	0			
application	12	0			
application	12	0			
application	12	0			
application	12	7			
application	12	5			
application	12	2			
application	12	2			
application	12	3			
application	12	0			
application	12	2			
application	12	5			
application	12	2			
application	12	7			
application	12	0			
application	12	0			
application	12	2			
application	12	2			
application	12	0			
application	12	7			
application	12	2			
application	12	2			
application	12	3			
application	12	3			
application	12	1			
application	12	1			
application	12	1			
application	12	1			
application	12	2			
application	12	7			
application	12	0			
application	12	0			
application	12	7			
application	12	5			
application	12	5			
application	12	3			
application	12	2			
application	12	0			
application	12	3			
application	12	5			
application	12	2			
application	12	2			
application	12	2			
application	12	6			
application	12	5			
application	12	5			
application	12	5			
application	12	0			
application	12	0			
application	12	3			
application	12	7			
application	12	3			
application	12	2			
application	12	3			
application	12	3			
application	12	2			
application	12	3			
application	12	0			
application	12	3			
application	12	0			
application	12	0			
application	12	0			
application	12	7			
application	12	0			
application	12	0			
application	12	0			
application	12	7			
application	12	3			
application	12	0			
application	12	3			
application	12	0			
application	12	0			
application	12	0			
application	12	3			
application	12	2			
application	12	2			
application	12	2			
application	12	2			
application	12	5			
application	12	2			
application	12	7			
application	12	5			
application	12	0			
application	12	0			
application	12	0			
application	12	5			
application	12	5			
application	12	0			
application	12	0			
application	12	0			
application	12	0			
application	12	7			
application	12	0			
application	12	7			
application	12	0			
application	12	0			
application	12	3			
application	12	0			
application	12	0			
application	12	7			
application	12	0			
application	12	0			
application	12	7			
application	12	4			
application	12	4			
application	12	4			
application	12	4			
application	12	4			
application	12	3			
application	12	2			
application	12	0			
application	12	0			
application	12	7			
application	12	4			
application	12	0			
application	12	0			
application	12	7			
application	12	0			
application	12	0			
application	12	7			
application	12	0			
application	12	0			
application	12	7			
application	12	5			
application	12	3			
application	12	3			
application	12	7			
application	12	0			
application	12	7			
application	12	3			
application	12	2			
application	12	2			
application	12	3			
application	12	5			
application	12	2			
application	12	7			
application	12	2			
application	12	5			
application	12	0			
application	12	7			
application	12	8			
application	12	11			
application	12	3			
application	12	1			
application	12	5			
application	12	1			
application	12	1			
application	12	1			
application	12	1			
application	12	7			
application	12	3			
application	12	6			
application	12	8			
application	12	2			
application	12	0			
application	12	7			
application	12	0			
application	12	2			
application	12	0			
application	12	2			
application	12	0			
application	12	7			
application	12	7			
application	12	2			
application	12	2			
application	12	5			
application	12	5			
application	12	5			
application	12	5			
application	12	8			
application	12	5			
application	12	5			
application	12	5			
application	12	8			
application	12	5			
application	12	5			
application	12	5			
application	12	5			
application	12	5			
application	12	5			
application	12	5			
application	12	5			
application	12	5			
application	12	8			
application	12	8			
application	12	5			
application	12	5			
application	12	8			
application	12	8			
application	12	8			
application	12	5			
application	12	8			
application	12	5			
application	12	5			
application	12	8			
application	12	5			
application	12	8			
application	12	5			
application	12	5			
application	12	5			
application	12	5			
application	12	5			
application	12	8			
application	12	5			
application	12	8			
application	12	5			
application	12	5			
application	12	5			
application	12	5			
application	12	6			
application	12	5			
application	12	5			
application	12	5			
application	12	5			
application	12	8			
application	12	8			
application	12	5			
application	12	5			
application	12	8			
application	12	8			
application	12	5			
application	12	8			
application	12	5			
application	12	5			
application	12	5			
application	12	5			
application	12	5			
application	12	5			
application	12	8			
application	12	8			
application	12	8			
application	12	8			
application	12	5			
application	12	5			
application	12	5			
application	12	5			
application	12	5			
application	12	5			
application	12	5			
application	12	5			
application	12	5			
application	12	5			
application	12	8			
application	12	5			
application	12	5			
application	12	5			
application	12	8			
application	12	5			
application	12	5			
application	12	8			
application	12	5			
application	12	5			
application	12	5			
application	12	5			
application	12	8			
application	12	5			
application	12	5			
application	12	5			
application	12	8			
application	12	5			
application	12	5			
application	12	5			
application	12	5			
application	12	5			
application	12	5			
application	12	5			
application	12	5			
application	12	5			
application	12	5			
application	12	5			
application	12	5			
application	12	8			
application	12	8			
application	12	5			
application	12	5			
application	12	5			
application	12	8			
application	12	5			
application	12	8			
application	12	8			
application	12	8			
application	12	5			
application	12	5			
application	12	8			
application	12	5			
application	12	5			
application	12	5			
application	12	5			
application	12	8			
application	12	8			
application	12	8			
application	12	8			
application	12	5			
application	12	5			
application	12	5			
application	12	5			
application	12	5			
application	12	5			
application	12	5			
application	12	8			
application	12	8			
application	12	5			
application	12	5			
application	12	5			
application	12	5			
application	12	5			
application	12	8			
application	12	5			
application	12	5			
application	12	5			
application	12	5			
application	12	5			
application	12	1			
application	12	1			
application	12	5			
application	12	1			
application	12	6			
application	12	6			
application	12	6			
application	12	6			
application	12	6			
application	12	3			
application	12	0			
application	12	0			
application	12	0			
application	12	0			
application	12	7			
application	12	0			
application	12	7			
application	12	0			
application	12	0			
application	12	7			
application	12	0			
application	12	2			
application	12	5			
application	12	0			
application	12	0			
application	12	2			
application	12	2			
application	12	7			
application	12	2			
application	12	0			
application	12	5			
application	12	2			
application	12	7			
application	12	0			
application	12	2			
application	12	3			
application	12	7			
application	12	0			
application	12	3			
application	12	7			
application	12	1			
application	12	6			
application	12	4			
application	12	4			
application	12	5			
application	12	1			
application	12	1			
application	12	1			
application	12	5			
application	12	1			
application	12	5			
application	12	1			
application	12	6			
application	12	5			
application	12	3			
application	12	3			
application	12	7			
application	12	5			
application	12	5			
application	12	5			
application	12	5			
application	12	0			
application	12	7			
application	12	7			
application	12	0			
application	12	3			
application	12	7			
application	12	0			
application	12	3			
application	12	0			
application	12	2			
application	12	3			
application	12	7			
application	12	7			
application	12	3			
application	12	2			
application	12	0			
application	12	0			
application	12	7			
application	12	2			
application	12	5			
application	12	0			
application	12	0			
application	12	5			
application	12	5			
application	12	0			
application	12	0			
application	12	2			
application	12	1			
application	12	3			
application	12	7			
application	12	0			
application	12	5			
application	12	2			
application	12	7			
application	12	3			
application	12	0			
application	12	0			
application	12	7			
application	12	5			
application	12	0			
application	12	0			
application	12	3			
application	12	7			
application	12	2			
application	12	3			
application	12	2			
application	12	0			
application	12	2			
application	12	3			
application	12	2			
application	12	0			
application	12	7			
application	12	0			
application	12	8			
application	12	0			
application	12	0			
application	12	0			
application	12	0			
application	12	5			
application	12	5			
application	12	5			
application	12	3			
application	12	5			
application	12	5			
application	12	0			
application	12	5			
application	12	7			
application	12	3			
application	12	5			
application	12	1			
application	12	1			
application	12	1			
application	12	3			
application	12	7			
application	12	0			
application	12	0			
application	12	0			
application	12	0			
application	12	7			
application	12	5			
application	12	0			
application	12	0			
application	12	7			
application	12	5			
application	12	2			
application	12	0			
application	12	7			
application	12	5			
application	12	3			
application	12	1			
application	12	1			
application	12	1			
application	12	1			
application	12	1			
application	12	1			
application	12	1			
application	12	0			
application	12	7			
application	12	0			
application	12	0			
application	12	7			
application	12	0			
application	12	7			
application	12	5			
application	12	7			
application	12	0			
application	12	3			
application	12	0			
application	12	0			
application	12	0			
application	12	7			
application	12	0			
application	12	7			
application	12	2			
application	12	8			
application	12	0			
application	12	2			
application	12	2			
application	12	0			
application	12	0			
application	12	0			
application	12	0			
application	12	7			
application	12	3			
application	12	2			
application	12	7			
application	12	0			
application	12	0			
application	12	0			
application	12	0			
application	12	0			
application	12	0			
application	12	7			
application	12	6			
application	12	7			
application	12	2			
application	12	0			
application	12	0			
application	12	7			
application	12	3			
application	12	0			
application	12	0			
application	12	6			
application	12	0			
application	12	2			
application	12	1			
application	12	1			
application	12	1			
application	12	1			
application	12	1			
application	12	1			
application	12	1			
application	12	1			
application	12	3			
application	12	1			
application	12	1			
application	12	1			
application	12	1			
application	12	1			
application	12	1			
application	12	1			
application	12	1			
application	12	12			
application	12	12			
application	12	3			
application	12	3			
application	12	5			
application	12	3			
application	12	3			
application	12	3			
application	12	3			
application	12	3			
application	12	2			
application	12	12			
application	12	2			
application	12	2			
application	12	3			
application	12	2			
application	12	5			
application	12	4			
application	12	6			
application	12	2			
application	12	2			
application	12	12			
application	12	2			
application	12	5			
application	12	6			
application	12	2			
application	12	2			
application	12	3			
application	12	0			
application	12	2			
application	12	3			
application	12	4			
application	12	12			
application	12	4			
application	12	3			
application	12	5			
application	12	3			
application	12	2			
application	12	3			
application	12	0			
application	12	2			
application	12	6			
application	12	2			
application	12	2			
application	12	2			
application	12	2			
application	12	2			
application	12	4			
application	12	0			
application	12	5			
application	12	5			
application	12	2			
application	12	10			
application	12	12			
application	12	12			
application	12	3			
application	12	8			
application	12	2			
application	12	5			
application	12	3			
application	12	3			
application	12	3			
application	12	2			
application	12	2			
application	12	5			
application	12	0			
application	12	2			
application	12	3			
application	12	5			
application	12	5			
application	12	12			
application	12	2			
application	12	3			
application	12	0			
application	12	5			
application	12	8			
application	12	2			
application	12	3			
application	12	2			
application	12	5			
application	12	9			
application	12	3			
application	12	4			
application	12	2			
application	12	12			
application	12	2			
application	12	12			
application	12	3			
application	12	3			
application	12	4			
application	12	3			
application	12	2			
application	12	12			
application	12	2			
application	12	2			
application	12	3			
application	12	2			
application	12	2			
application	12	2			
application	12	3			
application	12	5			
application	12	5			
application	12	5			
application	12	3			
application	12	3			
application	12	4			
application	12	6			
application	12	3			
application	12	5			
application	12	2			
application	12	2			
application	12	2			
application	12	3			
application	12	3			
application	12	12			
application	12	2			
application	12	2			
application	12	4			
application	12	2			
application	12	5			
application	12	9			
application	12	3			
application	12	2			
application	12	4			
application	12	2			
application	12	4			
application	12	2			
application	12	2			
application	12	5			
application	12	12			
application	12	3			
application	12	3			
application	12	8			
application	12	3			
application	12	7			
application	12	5			
application	12	12			
application	12	2			
application	12	3			
application	12	3			
application	12	3			
application	12	12			
application	12	3			
application	12	2			
application	12	2			
application	12	12			
application	12	2			
application	12	3			
application	12	2			
application	12	4			
application	12	2			
application	12	12			
application	12	2			
application	12	4			
application	12	12			
application	12	5			
application	12	2			
application	12	3			
application	12	2			
application	12	5			
application	12	12			
application	12	2			
application	12	2			
application	12	3			
application	12	3			
application	12	2			
application	12	6			
application	12	5			
application	12	4			
application	12	12			
application	12	3			
application	12	3			
application	12	2			
application	12	3			
application	12	5			
application	12	3			
application	12	3			
application	12	3			
application	12	5			
application	12	3			
application	12	12			
application	12	2			
application	12	5			
application	12	2			
application	12	3			
application	12	3			
application	12	2			
application	12	5			
application	12	5			
application	12	2			
application	12	3			
application	12	0			
application	12	7			
application	12	0			
application	12	6			
application	12	0			
application	12	3			
application	12	7			
application	12	3			
application	12	3			
application	12	3			
application	12	0			
application	12	9			
application	12	0			
application	12	5			
application	12	4			
application	12	3			
application	12	0			
application	12	5			
application	12	5			
application	12	5			
application	12	3			
application	12	7			
application	12	0			
application	12	5			
application	12	5			
application	12	5			
application	12	3			
application	12	5			
application	12	0			
application	12	2			
application	12	3			
